#Name, Date, RaDeg, DecDeg, AlertMag, HistoricMag, HistoricStdDev, Class, Published, Comment
Gaia16asf,2016-06-15 04:46:24,80.63282,-36.48576,18.59,,,"unknown",2016-07-02 18:14:59,"candidate supernova near galaxy AM 0520-363 NED02, z=0.06"
Gaia16ase,2016-06-14 08:02:36,266.80927,30.22481,18.92,,,"unknown",2016-07-02 18:11:53,"candidate supernova near GALEXASC J174714.59+301331.4"
Gaia16asd,2016-06-12 14:33:38,292.95626,9.82756,17.00,18.74,0.72,"unknown",2016-07-02 18:05:06,"candidate CV rising from mag 20-16.5"
Gaia16asc,2016-06-15 03:38:26,257.83055,38.05740,18.38,,,"unknown",2016-07-02 18:02:34,"candidate supernova near galaxy SDSS J171119.35+380327.9"
Gaia16asb,2016-06-13 21:52:43,6.07257,-38.20122,18.71,,,"unknown",2016-07-02 17:56:12,"transient near centre of Galaxy LCRS B002148.9-382841"
Gaia16asa,2016-06-12 16:00:50,21.12170,-35.99265,18.37,,,"unknown",2016-07-02 17:48:55,"candidate SN near galaxy GALEXASC J012429.27-355930.0"
Gaia16arz,2016-06-03 03:35:02,257.59978,26.39679,17.45,,,"SN Ia pec",2016-07-02 17:46:31,"super-chandrasekhar-mass SN Ia near galaxy SDSS J171023.63+262350.3"
Gaia16ary,2016-06-11 12:44:41,183.74609,27.63160,18.83,,,"unknown",2016-07-02 17:40:40,"transient near centre of galaxy SDSS J121459.09+273753.3"
Gaia16arx,2016-06-04 05:29:04,130.28256,-22.37162,17.89,,,"unknown",2016-07-02 17:29:54,"candidate supernovae at edge of galaxy 2MASX J08410812-2222254"
Gaia16arw,2016-06-11 21:03:11,319.72067,-7.54103,18.21,19.49,0.15,"unknown",2016-07-02 17:26:30,"flare in a Seyfert 1 galaxy/Radio Source"
Gaia16arv,2016-06-09 09:08:30,331.86445,-5.52282,17.97,,,"SN Ia",2016-07-02 17:18:57,"candidate SN, near faint smudge in DSS2, Gaia spectrum resembles pre-max SNIa, z=0.04-0.06"
Gaia16aru,2016-06-09 00:09:52,157.79614,6.87544,18.50,,,"unknown",2016-07-02 17:17:21,"candidate SN, 2 arcsec from centre of SDSS galaxy"
Gaia16art,2016-06-08 08:41:45,307.90353,8.80839,14.97,,,"unknown",2016-07-02 17:15:34,"candidate CV, bright blue transient with no apparent source in SDSS"
Gaia16ars,2016-06-08 02:45:07,311.82984,7.78485,17.77,,,"unknown",2016-07-02 17:14:29,"candidate SN, hostless"
Gaia16arr,2016-06-07 01:47:29,153.90699,-2.72658,18.21,,,"unknown",2016-07-02 17:13:20,"candidate SN in outskirts of SDSS galaxy"
Gaia16arq,2016-06-06 05:05:56,105.29323,-20.74548,16.54,19.35,0.25,"unknown",2016-07-02 17:11:43,"candidate CV, 2.5 mag rise in 6 hours"
Gaia16arp,2016-06-03 20:50:40,329.76717,18.18631,14.07,,,"SN Ic-BL",2016-07-02 17:10:18,"type Ic-broad SN aka ASASSN-16fp"
Gaia16aro,2016-06-02 14:59:41,343.50405,18.03282,18.24,,,"unknown",2016-07-02 17:06:51,"candidate SN near galaxy SDSS J225400.92+180159.0"
Gaia16arn,2016-06-03 04:49:59,90.89575,-28.30952,18.27,,,"unknown",2016-07-02 17:03:16,"candidate SN in galaxy 2MASX J06033544-2818420"
Gaia16arm,2016-06-03 07:44:17,252.75700,24.81340,18.49,,,"unknown",2016-07-02 17:01:44,"candidate SN in galaxy 2MASX J16510150+2448459"
Gaia16arl,2016-06-02 00:18:15,72.03130,-27.02031,17.26,,,"unknown",2016-07-02 16:59:06,"candidate SN near UV source GALEXASC J044805.08-270201.0"
Gaia16ark,2016-06-02 01:31:35,240.16024,22.54322,18.86,,,"unknown",2016-07-02 16:56:18,"candidate SN in galaxy KUG 1558+226"
Gaia16arj,2016-06-02 03:03:19,349.16904,17.89238,18.89,,,"unknown",2016-07-02 16:48:10,"candidate supernova close to UV source GALEXASC J231640.52+175334.4"
Gaia16ari,2016-06-01 00:06:08,59.97328,-24.52498,18.93,,,"unknown",2016-07-02 16:45:16,"candidate supernova next to galaxy APMUKS(BJ) B035745.86-243957.7"
Gaia16arh,2016-05-31 16:51:33,92.73469,-36.22085,18.68,,,"unknown",2016-07-02 16:43:27,"candidate supernova near galaxy ESO 364-41 z=0.04"
Gaia16arg,2016-05-31 13:38:13,158.45827,-28.78836,18.54,,,"unknown",2016-07-02 16:40:36,"candidate supernova close to UV source GALEXASC J103349.66-284723.3"
Gaia16arf,2016-05-31 20:43:51,331.71934,30.24825,18.87,,,"unknown",2016-07-02 16:37:41,"candidate supernova 2 arcsecs from core of galaxy 2MASX J22065250+3014541 "
Gaia16are,2016-05-31 18:40:53,95.99276,-36.31532,17.95,,,"unknown",2016-07-02 16:35:28,"candidate supernova near UV source GALEXASC J062358.49-361851.2"
Gaia16ard,2016-05-30 20:07:52,285.47553,41.28300,18.87,,,"unknown",2016-07-02 16:31:01,"candidate hostless SN"
Gaia16arc,2016-05-30 19:16:14,226.44782,18.34273,18.70,,,"unknown",2016-07-02 16:29:05,"candidate supernova near galaxy SDSS J150547.42+182034.3"
Gaia16arb,2016-05-30 03:53:21,37.71316,-12.32841,18.84,,,"unknown",2016-07-02 16:26:18,"candidate supernova in galaxy 2MASX J02305123-1219420 "
Gaia16ara,2016-05-29 19:42:51,252.13487,37.00343,18.41,,,"CV",2016-07-02 16:23:38,"candidate hostless SN. Classified as a CV in ATEL #9226"
Gaia16aqz,2016-05-28 19:51:20,176.44078,-28.51860,18.65,,,"unknown",2016-07-02 16:20:35,"candidate SN in DSS2 galaxy"
Gaia16aqy,2016-05-28 11:55:45,48.31783,-26.20483,17.00,,,"unknown",2016-07-02 16:18:33,"candidate hostless SN"
Gaia16aqx,2016-05-26 08:49:21,357.05646,35.83055,18.92,,,"unknown",2016-07-02 15:52:13,"candidate CV: fast transient in blue star SDSS J234813.56+354950.0"
Gaia16aqw,2016-05-25 00:29:05,196.33425,-10.58119,19.04,,,"unknown",2016-07-02 15:51:20,"candidate supernova offset from galaxy 2MASX J13052094-1034521 "
Gaia16aqv,2016-05-25 07:33:01,171.08080,-45.19498,19.12,,,"unknown",2016-07-02 15:50:10,"candidate supernova in galaxy 2MFGC 08916 z=0.042"
Gaia16aqu,2016-05-27 15:00:29,2.62899,26.43069,19.09,,,"unknown",2016-07-02 15:49:17,"candidate supernova near centre of UV source GALEXASC J001030.98+262550.4"
Gaia16aqt,2016-05-27 17:45:18,39.94493,-20.38592,17.71,,,"unknown",2016-07-02 15:48:18,"candidate supernova near UV source GALEXASC J023946.81-202309.0"
Gaia16aqs,2016-05-26 17:31:46,30.75744,-11.55592,18.69,,,"unknown",2016-07-02 15:47:24,"candidate supernova in galaxy KUG 0200-117"
Gaia16aqr,2016-05-25 18:26:39,69.80035,-53.60621,17.82,,,"unknown",2016-07-02 15:45:57,"candidate supernova in galaxy SSEP24 J043912.1-533624"
Gaia16aqq,2016-05-27 19:11:42,221.11911,21.64516,18.64,,,"unknown",2016-07-02 15:45:07,"candidate supernova in galaxy SDSS J144428.65+213838.8"
Gaia16aqp,2016-05-27 14:44:29,348.44069,38.96432,18.95,,,"unknown",2016-07-02 15:44:19,"candidate supernova in galaxy 2MASX J23134589+3857434 "
Gaia16aqo,2016-05-27 10:32:33,66.11784,-43.81435,18.36,,,"unknown",2016-07-02 15:43:29,"candidate supernova in galaxy 2MASX J04242811-4348544"
Gaia16aqn,2016-05-27 05:39:32,35.59048,-16.99653,18.82,,,"unknown",2016-07-02 15:41:20,"candidate supernova in galaxy 2MASX J02222177-1659417"
Gaia16aqm,2016-05-25 14:58:20,217.78849,27.23598,15.53,,,"unknown",2016-07-02 15:39:51,"candidate bright supernova in blue compact galaxy Mrk 685"
Gaia16aql,2016-05-25 20:48:31,212.49538,17.76337,16.27,,,"SN IIP",2016-07-02 15:38:21,"bright supernova in outer edges of IC983 at 80Mpc"
Gaia16aqk,2016-05-24 16:25:48,50.50462,-48.01542,18.59,,,"unknown",2016-07-02 15:37:21,"candidate supernova at edge of galaxy 2MASX J03220085-4800587"
Gaia16aqj,2016-05-24 18:46:16,203.36287,5.48214,18.87,,,"unknown",2016-07-02 15:36:19,"candidate supernova in outskirts of galaxy UGC 8533 at z=0.022"
Gaia16aqi,2016-05-24 19:42:04,243.73953,55.86988,18.15,,,"unknown",2016-07-02 15:35:27,"candidate supernova in ourskirts of galaxy SDSS J161458.14+555209.7"
Gaia16aqh,2016-06-08 18:53:34,103.52191,-16.37120,17.97,,,"unknown",2016-07-01 11:21:21,"candidate CV near Galactic Plane, blue transient with no apparent source in SDSS"
Gaia16aqg,2016-05-23 04:12:04,35.06048,-40.88476,17.97,19.68,0.16,"unknown",2016-05-27 11:53:07,"Candidate SN Ia"
Gaia16aqf,2016-05-23 00:47:44,103.29577,-71.78739,16.93,19.59,0.30,"unknown",2016-05-27 11:51:16,"DN in outburst"
Gaia16aqe,2016-05-22 17:24:35,21.11632,-11.76499,17.38,19.58,0.11,"unknown",2016-05-27 11:48:26,"Candidate SN Ia"
Gaia16aqd,2016-05-20 20:00:29,307.04404,79.12607,19.63,18.49,0.47,"unknown",2016-05-27 11:46:26,"Candidate SN (old)"
Gaia16aqc,2016-05-23 05:36:38,26.23080,-21.81967,17.84,18.32,0.07,"unknown",2016-05-27 11:42:13,"rise in brightness of a distant galaxy, (z=0.4), blue spectrum"
Gaia16aqb,2016-05-23 06:59:30,206.20242,21.07991,18.51,,,"SN Ia",2016-05-27 11:39:58,"Candidate SN, on or near very faint SDSS galaxy aka CSS160427:134449+210448"
Gaia16aqa,2016-05-20 00:29:28,37.88069,-73.14878,18.89,,,"unknown",2016-05-25 17:39:10,"SN candidate close to galaxy GALEXASC J023131.13-730901.2, GSTEC predicts SN IIn"
Gaia16apz,2016-05-22 14:20:39,343.59640,61.84157,20.04,18.96,0.21,"unknown",2016-05-25 17:36:41,"Highly variable red source. Faded by 1.5 mag. Possible YSO"
Gaia16apy,2016-05-20 05:32:19,15.58365,-22.24128,17.98,,,"unknown",2016-05-24 23:51:43,"SN candidate in gakaxy  2MASX J01022019-2214287"
Gaia16apx,2016-05-19 17:31:48,13.86299,-22.31268,17.23,,,"unknown",2016-05-24 23:49:15,"SN candidate near galaxy 2MASX J00552693-2218476. GSTEC predicts SN IIn"
Gaia16apw,2016-05-19 01:00:11,191.70352,30.37098,18.64,,,"unknown",2016-05-24 23:45:16,"SN candidate 0.34 arcsec from centre of galaxy SDSS J124648.85+302215.2"
Gaia16apv,2016-05-21 07:56:26,279.17732,78.20002,17.76,19.25,0.21,"unknown",2016-05-23 13:26:06,">2 mag rise in UV source GALEXASC J183642.63+781159.8"
Gaia16apu,2016-05-21 07:51:45,255.99119,76.76952,17.10,19.17,0.25,"unknown",2016-05-23 13:08:01,"3 mag rise near radio source NVSS J170357+764611"
Gaia16apt,2016-05-20 13:57:55,189.25673,-22.43604,18.30,19.31,0.11,"unknown",2016-05-23 13:03:44,"1 mag increase near the centre of galaxy SDSS J123701.61-222609.8 (no prior variability in CRTS)"
Gaia16aps,2016-05-21 07:06:50,202.19835,33.18659,17.96,,,"unknown",2016-05-23 12:52:59,"blue transient near GALEXASC J132847.89+331113.8"
Gaia16apr,2016-05-19 07:27:39,183.40844,-50.39677,17.38,,,"unknown",2016-05-22 15:19:19,"blue transient on top of faint smudge in DSS2"
Gaia16apq,2016-05-18 06:37:12,187.68980,6.74821,18.73,19.40,0.08,"unknown",2016-05-22 15:18:12,"0.6 mag rise in QSO SDSS J123045.55+064453.5 (z=0.5)"
Gaia16app,2016-05-17 12:56:35,185.16122,28.63802,18.87,,,"unknown",2016-05-20 15:09:18,"Candidate SN near SDSS J122038.74+283814.2 GSTEC predicts SN IIp"
Gaia16apo,2016-05-17 12:17:19,185.84411,-13.15372,18.32,,,"unknown",2016-05-20 15:07:23,"Candidate SN near GALEXASC J122322.91-130913.5 GSTEC predicts SN Ia"
Gaia16apn,2016-05-17 18:15:36,186.29621,-15.18436,18.99,,,"unknown",2016-05-20 15:05:57,"Candidate SN near 2MASX J12251074-1511037 "
Gaia16apm,2016-05-17 04:44:50,5.71041,20.18340,19.18,19.99,0.14,"unknown",2016-05-20 13:08:13,"0.8 mag increase near centre of galaxy SDSS J002250.49+201100.2"
Gaia16apl,2016-05-17 10:59:02,5.76603,6.60496,18.89,,,"unknown",2016-05-20 13:04:59,"SN candidate close to GALEXASC J002303.62+063619.1, GSTEC predicts SN Ia"
Gaia16apk,2016-05-16 08:47:14,4.74446,30.53346,19.56,17.16,0.44,"unknown",2016-05-20 13:03:54,"Declining SN candidate"
Gaia16apj,2016-05-17 04:54:32,5.21133,10.76465,16.81,,,"unknown",2016-05-20 13:01:13,"SN candidate in edge-on SDSS galaxy, GSTEC predicts SN Ia"
Gaia16api,2016-05-17 11:06:18,5.51215,-0.31974,18.85,,,"unknown",2016-05-20 12:59:16,"Candidate SN near galaxy SDSS J002202.75-001911.6, GSTEC predicts SN IIn"
Gaia16aph,2016-05-17 01:44:39,169.25218,82.38259,18.43,,,"unknown",2016-05-20 11:33:53,"Candidate SN in galaxy 2MASX J11165943+8222585, GSTEC predicts SN 1a"
Gaia16apg,2016-05-16 05:59:55,185.10823,-29.62957,18.57,,,"unknown",2016-05-19 13:17:49,"Candidate SN in galaxy TOLOLO 00023"
Gaia16apf,2016-05-15 22:09:35,8.63916,54.47832,19.46,20.59,0.30,"unknown",2016-05-18 11:05:48,"2 mag brightening in faint blue source"
Gaia16ape,2016-05-16 03:00:19,3.36561,17.48269,18.66,,,"unknown",2016-05-18 10:01:33,"Candidate SN, GSTEC predicts SN IIp"
Gaia16apd,2016-05-16 19:09:55,180.71544,44.25761,17.35,,,"SLSN",2016-05-18 10:00:39,"Blue transient on top of faint galaxy SDSS J120251.71+441527.4"
Gaia16apc,2016-05-16 09:47:51,0.52346,-26.98003,16.65,,,"unknown",2016-05-18 09:54:49,"Candidate SN near 2MASXi J0002057-265846, GSTEC predicts SN Ia"
Gaia16apb,2016-05-15 07:57:23,39.87191,78.81069,16.44,19.01,0.31,"unknown",2016-05-17 15:53:33,"2.5 mag outburst in UV source GALEXASC J023929.18+784838.7"
Gaia16apa,2016-05-15 16:37:05,3.90946,26.61572,13.89,17.43,0.38,"CV",2016-05-17 15:46:47,"bright outburst in known CV 2MASS J00153821+2636574"
Gaia16aoz,2016-05-15 19:34:19,162.11514,71.72666,15.67,17.94,0.42,"QSO",2016-05-17 15:43:18,"3 mag rise in QSO 7C 104450.00+715929.00 over a year"
Gaia16aoy,2016-05-15 13:30:52,163.74706,68.19809,17.21,16.03,0.44,"unknown",2016-05-17 14:17:32,"Erratic decline in UV source GALEXASC J105459.25+681153.0"
Gaia16aox,2016-05-15 04:40:19,332.09485,-73.17685,18.84,,,"unknown",2016-05-17 09:49:55,"Candidate SN near GALEXASC J220822.19-731040.1"
Gaia16aow,2016-05-15 12:25:19,180.54278,-2.88633,19.59,20.60,0.32,"unknown",2016-05-17 09:47:07,"Gradual ~1 mag brightening in blue SDSS stellar source"
Gaia16aov,2016-05-11 09:00:10,352.00299,16.20014,18.10,,,"unknown",2016-05-16 11:37:12,"New source 2 arcsecond from nucleus of galaxy SDSS J232800.75+161202.3"
Gaia16aou,2016-05-14 12:51:26,172.23228,25.86132,17.66,,,"SN Ia",2016-05-16 06:50:01,"Candidate nuclear SN Ia, 0.5 arcsec from centre of star forming galaxy SDSS J112855.72+255140.3"
Gaia16aot,2016-05-14 12:37:15,175.20324,10.57167,18.69,,,"unknown",2016-05-16 06:47:27,"SN candidate near galaxy SDSS J114048.62+103417.4"
Gaia16aos,2016-05-14 12:15:34,178.90343,-12.27650,20.12,18.96,0.42,"unknown",2016-05-16 06:44:05,"Decline in radio source PKS B1153-119 "
Gaia16aor,2016-05-14 12:15:07,179.40153,-12.71908,19.38,20.19,0.12,"unknown",2016-05-16 06:39:30,"1 mag brightening in UV source GALEXASC J115736.42-124308.9"
Gaia16aoq,2016-05-14 00:14:07,177.98434,-13.41753,17.47,,,"SN II",2016-05-16 06:34:02,"SN observed in Gaia (originally discovered in February by ASASSN)"
Gaia16aop,2016-05-13 15:59:34,345.29734,-37.26906,17.26,,,"unknown",2016-05-16 00:30:03,"Candidate young SN Ia"
Gaia16aoo,2016-05-13 06:21:53,174.33607,-4.91015,16.90,,,"SN II-P",2016-05-16 00:27:21,"Candidate SN in 6dFGS gJ113720.6-045444"
Gaia16aon,2016-05-13 12:01:16,180.02216,-26.13291,17.63,18.51,0.05,"unknown",2016-05-16 00:24:10,"Red target brightening by 1 mag"
Gaia16aom,2016-05-13 02:50:59,359.08604,24.80800,17.71,,,"unknown",2016-05-16 00:20:16,"Candidate SN Ia in elliptical SDSS galaxy"
Gaia16aol,2016-05-12 00:18:04,171.08424,-8.34437,18.25,,,"unknown",2016-05-16 00:17:16,"Candidate young SN in IC 690 (z= 0.023)"
Gaia16aok,2016-05-12 05:54:47,179.56401,-31.78361,19.06,19.84,0.14,"unknown",2016-05-16 00:13:49,"increase in brightness of radio source NVSS J115815-314702"
Gaia16aoj,2016-05-12 04:45:31,354.50589,17.24455,19.22,20.36,0.16,"unknown",2016-05-16 00:09:40,"1mag increase in the core of SDSS galaxy"
Gaia16aoi,2016-05-12 03:18:13,349.36297,-0.10575,18.71,,,"unknown",2016-05-16 00:06:11,"candidate hostles SN Ia"
Gaia16aoh,2016-05-12 10:52:26,274.77002,-74.68995,16.31,19.78,0.27,"unknown",2016-05-15 22:17:45,"Candidate CV"
Gaia16aog,2016-05-10 19:15:14,140.14286,50.69629,18.56,17.50,0.16,"SN IIP",2016-05-15 22:15:51,"candidate SN on the decline"
Gaia16aof,2016-05-10 11:31:10,335.37237,-22.26272,16.23,,,"unknown",2016-05-15 22:12:51,"bright candidate SN"
Gaia16aoe,2016-05-11 06:04:40,173.36315,-21.64653,16.97,,,"unknown",2016-05-15 22:11:16,"Candidate CV"
Gaia16aod,2016-05-11 12:00:26,175.64444,-25.91259,17.71,,,"SN II",2016-05-15 22:08:24,"Candidate SN, GSTEC predicts SN IIp"
Gaia16aoc,2016-05-11 03:22:51,344.53224,-3.79117,17.89,,,"unknown",2016-05-15 22:06:53,"Candidate SN, GSTEC predicts SN IIp"
Gaia16aob,2016-05-10 17:56:08,175.79400,-29.77725,17.09,17.60,0.09,"unknown",2016-05-15 21:59:32,"1 mag brightening in candidate AGN 2MASX J11431053-2946384"
Gaia16aoa,2016-05-09 18:04:44,169.25451,-21.18385,19.31,20.37,0.16,"unknown",2016-05-12 15:22:33,"1 mag increase in faint DSS2 source"
Gaia16anz,2016-05-10 05:53:31,175.75442,-32.13676,19.28,20.32,0.18,"unknown",2016-05-12 15:21:15,"1 mag increase in radio source NVSS J114301-320812"
Gaia16any,2016-05-10 16:47:21,349.78636,15.72512,17.48,,,"unknown",2016-05-12 15:18:43,"SN candidate near galaxy SDSSCGB 54980.02"
Gaia16anx,2016-05-10 09:20:39,342.64215,-1.54230,17.94,,,"unknown",2016-05-12 15:15:50,"SN candidate in outskirts of elliptical galaxy NGC 7391"
Gaia16anw,2016-05-09 12:10:38,165.88967,-15.34934,18.23,,,"unknown",2016-05-11 16:38:22,"SN candidate near GALEXASC J110333.59-152056.9, GSTEC predicts SN Ia"
Gaia16anv,2016-05-09 16:47:59,346.88624,15.33963,18.70,,,"SN Ib",2016-05-11 16:36:37,"SN candidate near galaxy SDSS J230732.61+152015.8, GSTEC predicts SN Ia/Ibc"
Gaia16anu,2016-05-09 13:17:19,130.84772,51.63060,19.13,20.23,0.15,"unknown",2016-05-11 16:32:46,"SN candidate on top of faint galaxy SDSS J084323.44+513749.9"
